"key","message","comment","context"
"Nآ° Compteur Electricite",,,"java\com\eau\electricite\service\ControlElectriciteService.java:105"
"PRI","ابتدائي",,"java\com\eau\electricite\service\ControlElectriciteService.java:90
java\com\eau\electricite\service\ControleEauService.java:90"
"Primaire","ابتدائي",,"resources\domains\GestionEauElectricite.xml:15"
"QUAL","تأهيلي",,"java\com\eau\electricite\service\ControlElectriciteService.java:82
java\com\eau\electricite\service\ControleEauService.java:82"
"Qualifiant","تأهيلي",,"resources\domains\GestionEauElectricite.xml:14"
"Quantité de consommation","الكمية",,"resources\domains\ConsommationEau.xml:13
resources\domains\ConsommationElectricite.xml:13"
"Statistiques","الإحصائيات",,"resources\views\Menu.xml:8
resources\views\Menu.xml:9"
"Statistiques!","احصائيات",,"resources\views\Dashboard.xml:6"
"Supprime","حدف",,"resources\views\ControleEau.xml:13
resources\views\ControleElectricite.xml:14"
"Voulez-vous vraiment Supprimez cet enregistrement ?","هل تريد بالفعل الحدف",,"resources\views\ControleEau.xml:13
resources\views\ControleElectricite.xml:14"
"Vous n'avez pas l'autorisation","اسف ليست لديكم الصلاحية",,"java\com\eau\electricite\web\ControlElectriciteController.java:17
java\com\eau\electricite\web\ControleEauController.java:16"
"annex","ملحقة",,"java\com\eau\electricite\service\ControlElectriciteService.java:93
java\com\eau\electricite\service\ControleEauService.java:93"
"compteur","العداد",,"java\com\eau\electricite\service\ConsommationEauService.java:88
java\com\eau\electricite\service\ConsommationEauService.java:94
java\com\eau\electricite\service\ConsommationElectriciteService.java:88
java\com\eau\electricite\service\ConsommationElectriciteService.java:94"
"consommation","الاستهلاك",,"resources\views\ConsommationEau.xml:20
resources\views\ConsommationElectricite.xml:19"
"consommation d'électricite par mois","استهلاك الكهرباء حسب الشهور",,"resources\views\Charts.xml:151"
"consommation de l'eau par mois","استهلاك الماء حسب الشهور",,"resources\views\Charts.xml:34"
"consommation de téléphone par mois","استهلاك الهاتف حسب الشهور",,"resources\views\Charts.xml:232"
"contrat d'eau","عقدة الماء",,"resources\domains\ConsommationEau.xml:16
resources\domains\ControleEau.xml:19"
"contrat d'électricité","عقدة الكهرباء",,"resources\domains\ConsommationElectricite.xml:16
resources\domains\ControleElectricite.xml:19"
"custion-statistiques",,,"resources\views\GestionEauElectricite.xml:38"
"date Du","التاريح من",,"java\com\eau\electricite\service\ConsommationEauService.java:84
java\com\eau\electricite\service\ConsommationElectriciteService.java:84"
"date Fin","التاريخ إلى",,"resources\domains\ConsommationEau.xml:10
resources\domains\ConsommationElectricite.xml:10"
"date début","التاريخ من",,"resources\domains\ConsommationEau.xml:8
resources\domains\ConsommationElectricite.xml:8"
"dernière données","اخر المعطيات",,"resources\views\GestionEauElectricite.xml:369"
"diffأ©rence",,,"java\com\eau\electricite\service\ConsommationEauService.java:97
java\com\eau\electricite\service\ConsommationElectriciteService.java:97"
"image Compteur","صورة  للعداد",,"resources\domains\ControleEau.xml:10
resources\domains\ControleElectricite.xml:10"
"montant","المبلغ",,"java\com\eau\electricite\service\ConsommationEauService.java:100
java\com\eau\electricite\service\ConsommationElectriciteService.java:100"
"nombre bâtiments","عدد البنايات ",,"resources\domains\GestionEauElectricite.xml:18
resources\domains\GestionEauElectricite.xml:19"
"nombre de structures bأ©nأ©ficiant de ce compteur",,,"java\com\eau\electricite\service\ControlElectriciteService.java:99
java\com\eau\electricite\service\ControleEauService.java:99"
"nombre des éléves","عدد التلاميذ",,"resources\domains\GestionEauElectricite.xml:12"
"toutes les données","جميع المعطيات",,"resources\views\GestionEauElectricite.xml:370"
"valeur de compteur","قيمة العداد",,"resources\domains\ControleEau.xml:9
resources\domains\ControleElectricite.xml:9"
"َAnnexe","ملحقة",,"resources\domains\GestionEauElectricite.xml:16"
