"key","message","comment","context"
"la table des salles disponible","جدول القاعات الشاغرة",,"java\com\emploi\temps\web\DossierImportFetController.java:201"
"ltr","rtl",,"java\com\emploi\temps\service\DossierImportFetService.java:335
java\com\emploi\temps\service\DossierImportFetService.java:35
java\com\emploi\temps\service\DossierImportFetService.java:658
java\com\emploi\temps\service\DossierImportFetService.java:782
java\com\emploi\temps\service\ExportEmpoiExcel.java:71
java\com\emploi\temps\web\IReport.java:37"
"matiere","المادة",,"resources\domains\SubjectFet.xml:8"
"matiere ds Fet","المادة FET",,"resources\domains\SubjectFet.xml:9"
"matieres","المواد",,"resources\domains\TeacherDossier.xml:10"
"matiers","المواد",,"resources\domains\ResultatFet.xml:11"
"matière","المادة",,"resources\domains\ActivityResulteFet.xml:15"
"nom Reel","الاسم الحقيقي",,"resources\domains\RoomDossier.xml:10
resources\domains\StudentDossier.xml:11"
"nom ds Fet","الاسم FET",,"resources\domains\RoomDossier.xml:9
resources\domains\StudentDossier.xml:10
resources\domains\TeacherDossier.xml:11"
"order","التربتيب",,"resources\domains\DayFet.xml:10
resources\domains\DayHourFet.xml:11
resources\domains\HourFet.xml:10
resources\views\DayHourFet.xml:8"
"professeur","المدرس",,"resources\domains\ActivityResulteFet.xml:16
resources\domains\TeacherFet.xml:8
resources\views\DossierImportFet.xml:44
resources\views\DossierImportFet.xml:78"
"professeur ds Fet","المدرس FET",,"resources\domains\TeacherFet.xml:9"
"professeurs","المدرسون",,"java\com\emploi\temps\service\ExportEmpoiExcel.java:145
java\com\emploi\temps\service\ExportEmpoiExcel.java:165
resources\domains\ResultatFet.xml:12
resources\domains\StudentDossier.xml:9"
"reselta","النتيجة",,"resources\views\DossierImportFet.xml:59
resources\views\DossierImportFet.xml:93"
"salle","القاعة",,"resources\domains\ActivityResulteFet.xml:12
resources\domains\RoomFet.xml:8
resources\views\DossierImportFet.xml:56
resources\views\DossierImportFet.xml:90"
"salle ds Fet","القاعة FET",,"resources\domains\RoomFet.xml:9"
"salles","القاعات",,"java\com\emploi\temps\service\ExportEmpoiExcel.java:147
java\com\emploi\temps\service\ExportEmpoiExcel.java:167
resources\domains\ResultatFet.xml:13"
"salles Dossier","القاعات الملف",,"resources\domains\DossierImportFet.xml:19"
"séance réel","الحصة الحقيقية",,"resources\domains\DayHourFet.xml:13
resources\views\DayHourFet.xml:12"
"table services profs collectif(1/1)","جداول الحصص الاجمالي للمدرسين(1/1)",,"resources\views\DossierImportFet.xml:164"
"table services profs individuelle(1/1)","جدول الحصص حسب المدرس(1/1)",,"resources\views\DossierImportFet.xml:161"
"table services profs individuelle(2/1)","جدول الحصص حسب المدرس(2/1)",,"resources\views\DossierImportFet.xml:162"
"table services profs individuelle(3/1)","جدول الحصص حسب المدرس(3/1)",,"resources\views\DossierImportFet.xml:163"
"table services profs par jour","جدول الحصص للاساتذة حسب اليوم",,"resources\views\DossierImportFet.xml:165"
"َemploi temps eleves par jour","استعمال الزمن للاقسام حسب اليوم",,"resources\views\DossierImportFet.xml:171"
"َemploi temps salles collectif(1/1)","استعمال الزمن الاجمالي للقاعات(1/1)",,"resources\views\DossierImportFet.xml:173"
"َemploi temps salles par jour","استعمال الزمن للقاعات حسب اليوم",,"resources\views\DossierImportFet.xml:174"
