"key","message","comment","context"
"afficher prof","عرض الاستاذ",,"resources\domains\ListContraint.xml:13"
"aperçu","معاينة",,"resources\domains\UserEtablissementRole.xml:10"
"autorisé","موافق",,"resources\domains\EtablissementLiaison.xml:8"
"changeLgo","تغيير اللوكو",,"resources\views\Etablissement.xml:62"
"code d'activation","رمز التفعبل",,"resources\domains\ActivationUser.xml:9"
"code d'etablissement","رمو المؤسسة",,"resources\views\EtablissementLiaison.xml:15"
"commenter","تعليمات",,"resources\domains\ListContraint.xml:21"
"confirm password","تأكيد كلمة المرور",,"resources\views\User.xml:24"
"creation une etablissement","إنشاء مؤسسة",,"resources\views\User.xml:86"
"créer","انشاء",,"resources\views\User.xml:33
resources\views\User.xml:50
resources\views\User.xml:74"
"current password","كلمة المرور الحالي",,"resources\views\User.xml:19"
"date de péremption","تاريخ انتهاء الصلاحية ",,"resources\domains\EtablissementRolsDescribe.xml:9"
"date de pأ©remption",,,"java\com\setting\service\EtablissementService.java:137"
"les Autorisations","الصلاحيات",,"resources\domains\UserEtablissement.xml:10"
"les Types des fonctons","لائحة مهام الامتحان",,"resources\views\FonctionExaman.xml:6"
"les cycles","المسالك",,"resources\views\Cycle.xml:6"
"les observations","الملاحظات",,"resources\views\RegistreObservation.xml:6"
"les roles","المهام",,"resources\domains\UserEtablissementRole.xml:9"
"les utilisateurs","المستخدمون",,"java\com\setting\web\EtablissementController.java:58
java\com\setting\web\EtablissementController.java:73
resources\views\Menu.xml:12"
"les utilisateurs d établissement","مستخدمي المؤسسة",,"resources\domains\UserEtablissementRole.xml:8"
"modifier","تعديل",,"resources\domains\UserEtablissementRole.xml:11"
"mot de passe","كلمة المرور",,"resources\views\Register.xml:34"
"name","الاسم",,"resources\domains\Etablissement.xml:8"
"new password","كلمة المرور الجديد",,"resources\views\User.xml:22"
"nom d'utilisateur","إسم المستخدم",,"resources\views\UserEtablissement.xml:15
resources\views\UserEtablissement.xml:18"
"observation ou remarque","الملاحظات والاقتراحات",,"resources\views\RegistreObservation.xml:13"
"profisseur","الاستاذ",,"resources\views\ListContraint.xml:31"
"profisseurs","الاساتذة",,"resources\views\ListContraint.xml:30"
"register",,,"resources\views\Menu.xml:53
resources\views\Menu.xml:57
resources\views\Register.xml:6"
"salle","القاعة",,"resources\views\ListContraint.xml:34"
"salles","القاعات",,"resources\views\ListContraint.xml:33"
"save","حفظ",,"resources\views\User.xml:45"
"sendredirect",,,"resources\views\Register.xml:49"
"type de cycle","نوع المسلك",,"resources\views\Cycle.xml:11"
"type de fonction","نوع المهام",,"resources\views\FonctionExaman.xml:11"
"utilisateurs","المستخدمون",,"resources\views\Etablissement.xml:6"
"valeur par défaut","القيمة الافتراضية",,"resources\domains\ListContraint.xml:20"
"votre remarques et observations","ملاحظاتكم واقتراحاتكم",,"resources\views\RegistreObservation.xml:15"
"Écrivez votre email","اكت الاميل الخاص بك",,"resources\views\Register.xml:15"
"Êtes-vous sûr de vouloir supprimer ce(s) enregistrement(s) ?","هل تريد بالفعل مسح السلاجلات(s) المسجلة(s) ?",,"resources\views\UserEtablissement.xml:30
resources\views\UserEtablissement.xml:9"
"établissement scolaire","مؤسسة تعليمية",,"resources\views\Etablissement.xml:173"
"بريدك الإلكتروني غير صحيح",,,"resources\views\Register.xml:21"
"تم إرسال رمز التفعيل والرابط إلى بريدك الإلكتروني ، أدخل رمز التفعيل وكلمة المرور ثم انقر فوق التالي ، أو انقر فوق الرابط الموجود في بريدك الإلكتروني",,,"resources\views\Register.xml:28"
"تمت العملية بنجاح ، انقر فوق اتصال  للمتابعة",,,"resources\views\Register.xml:42"
"خطأ ! تحقق من البريد الإلكتروني أو رمز التأكيد أو كلمة المرور",,,"resources\views\Register.xml:47"
"ٌRemarques et Observations","ملاحظاتكم واقتراحاتكم",,"resources\views\Menu.xml:69"
