cd;nameFr;nameAr
0495;gestion de la maintenance;تنظيم الصيانة
0496;Industrialisation des produits;تصنيع المنتوجات
0497;Maintenance- Sécurité-Environnement;صيانة -تأمين-محيط بيئي
0498;Mécanique et étude des structures en béton armé;الميكانيك و دراسة بنيات الخرسانة المسلحة
0499;Mécanique industrielle;الميكانيك الصناعية
0500;Métré et étude des prix;القياس و دراسة التكلفة
0501;Procédés généraux de construction;الطرق العامة للبناء
0502;Production multimédia;انتاج الوسائط 
0503;Productique et maintenance;الانتاجية و الصيانة
0504;Sciences physiques ;العلوم الفيزيائية 
0505;Systèmes et réseaux informatiques;الانظمة والشبكات المعلومياتية
0506;Techniques de représentation;تقنيات المبيان
0507;Technologie de fabrication;تكنولوجيا التصنيع
0508;Technologie de l’information appliquée;تكنولوجيا المعلومات التطبيقية
0509;Technologie et procédés de fabrication;تكنولوجيا و طرق التصنيع
0510;Travaux pratiques;الأشغال التطبيقية 
0511;Systèmes énergétiques;النظم الطاقية
0512;Mécanique appliquée;الميكانيك التطبيقية
1000;EDUCATION ARTISTIQUE;التربية الفنية 
1001;التعبير الكتابي;التعبير الكتابي
1002;القراءة;القراءة
1003;الإملاء;الإملاء
1004;الشكل;الشكل
1005;التراكيب;التراكيب
1006;الصرف والتحويل;الصرف والتحويل
1007;Exp. Orale;Exp. Orale
1008;Activités de prod. écrite;Activités de prod. écrite
1009;Lexique;Lexique
1010;Grammaire;Grammaire
1011;Conjugaison;Conjugaison
1012;Orthographe/Dictée;Orthographe/Dictée
1013;Activités de Lecture;Activités de Lecture
1014;القران الكريم;القران الكريم
1015;عقائد وعبادات;عقائد وعبادات
1016;اداب إسلامية;اداب إسلامية
1017;التاريخ;التاريخ
1018;الجغرافية;الجغرافية
1019;التربية المدنية;التربية المدنية
1020;الخط ;الخط 
1021;Poésie/chants/comptines;Poésie/chants/comptines
1022;copie;copie
1023;التعبير الشفوي ;التعبير الشفوي 
1024;dictée;dictée
1025;communication et actes de langage;communication et actes de langage
1026;النقل;النقل
1027;فهم المقروء;فهم المقروء
1028;إنشاء;إنشاء
1029;écriture;écriture
1030;Poésie/lecture/diction;Poésie/lecture/diction
1031;Fikh;الفقه
1032;القران الكريم;القران الكريم
1033;Matières professionnelles;المواد المهنية
1034;القرآن الكريم والتفسير والفقه;القرآن الكريم والتفسير والفقه
1035;الحديث النبوي الشريف والعقيدة;الحديث النبوي الشريف والعقيدة
1036;STAGE;التدريب الميداني
1037;الحديث النبوي و السيرة;الحديث النبوي و السيرة
1038;Copie/Dictée;Copie/Dictée
1039;"الإستماع والتحدث
";"الإستماع والتحدث
"
1040;تمارين كتابية;تمارين كتابية
1041;"التطبيقات الكتابية
";"التطبيقات الكتابية
"
1042;"مشروع الوحدة
";"مشروع الوحدة
"
1043;التواصل الشفهي;التواصل الشفهي
1044;Comptine/Chant;Comptine/Chant
1045;Graphisme;Graphisme
1046;Activités orales;Activités orales
1047;Poésie;Poésie
1048;Lecture;Lecture
1049;Écriture/Copie;Écriture/Copie
1050;Exercices écrits;Exercices écrits
1051;Production de l’écrit;Production de l’écrit
1052;Projet de classe;Projet de classe
1053;التواصل الشفوي;التواصل الشفوي
1054;مشروع الوحدة;مشروع الوحدة
2000;Autres disciplines;Autres disciplines
9000;2ème langue étrangère;اللغة الأجنبية الثانية
9999;تخصص آخر;Autres disciplines
